instructions.started,instructions.stopped,participant,session,age (years),date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,trials_nomax.thisRepN,trials_nomax.thisTrialN,trials_nomax.thisN,trials_nomax.thisIndex,trials_nomax.ran,language,word,letterColor,corrAns,congruent,__trial_min.started,__trial_min.stopped,resp_min.keys,resp_min.corr,resp_min.rt,resp_min.duration,trials_min.thisRepN,trials_min.thisTrialN,trials_min.thisN,trials_min.thisIndex,trials_min.ran,thanks.started,thanks.stopped
0,18.984,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,19.003,21.484,right,1,1.941,,0,0,0,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,21.485,23.733,right,1,1.719,,0,1,1,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,23.735,25.466,left,1,1.212,,0,2,2,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,25.468,27.166,left,1,1.161,,0,3,3,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,27.168,29.116,right,1,1.409,,0,4,4,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,29.118,31.082,down,1,1.427,,0,5,5,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,31.084,32.933,down,1,1.328,,0,6,6,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,32.934,34.883,left,0,1.41,,0,7,7,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,34.885,37.616,down,1,2.196,,0,8,8,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,37.618,39.432,right,1,1.277,,0,9,9,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,39.434,42.115,left,1,2.16,,0,10,10,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,42.117,44.467,left,1,1.834,,0,11,11,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,44.467,46.166,down,1,1.167,,1,0,12,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,46.167,47.466,left,1,0.762,,1,1,13,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,47.468,49.866,right,1,1.868,,1,2,14,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,49.868,52.533,left,1,2.126,,1,3,15,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,52.534,54.565,down,1,1.511,,1,4,16,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,54.567,55.816,left,1,0.731,,1,5,17,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,55.818,56.87,down,1,0.519,,1,6,18,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,56.871,58.816,down,1,1.417,,1,7,19,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,58.817,60.733,right,1,1.385,,1,8,20,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,60.734,62.016,right,1,0.767,,1,9,21,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,62.017,64.6,left,1,2.046,,1,10,22,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,64.601,66.283,right,1,1.147,,1,11,23,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,66.284,67.916,left,1,1.098,,2,0,24,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,67.917,73.45,right,1,4.997,,2,1,25,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,73.451,75.099,left,1,1.111,,2,2,26,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,75.1,76.566,down,1,0.948,,2,3,27,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,76.567,79.25,down,1,2.143,,2,4,28,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,79.251,81.816,left,1,2.034,,2,5,29,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,81.817,83.8,down,1,1.444,,2,6,30,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,83.801,85.6,left,1,1.261,,2,7,31,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,85.601,87.366,right,1,1.228,,2,8,32,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,87.367,88.616,right,1,0.711,,2,9,33,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,88.617,89.933,down,1,0.783,,2,10,34,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,89.934,91.299,right,1,0.844,,2,11,35,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,91.3,92.916,down,1,1.078,,3,0,36,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,92.917,95.766,left,1,2.316,,3,1,37,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,95.767,98.666,right,1,2.361,,3,2,38,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,98.667,100.166,right,1,0.977,,3,3,39,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,100.167,103.216,down,1,2.511,,3,4,40,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,103.216,107.566,right,1,3.831,,3,5,41,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,107.567,109.033,down,1,0.93,,3,6,42,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,109.034,110.883,right,1,1.334,,3,7,43,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,110.883,112.199,down,1,0.778,,3,8,44,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,112.2,113.249,left,1,0.513,,3,9,45,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,113.25,114.349,left,1,0.566,,3,10,46,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,114.35,115.483,left,1,0.622,,3,11,47,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,115.484,116.699,down,1,0.698,,4,0,48,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,116.7,117.8,left,1,0.561,,4,1,49,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,117.8,119.133,left,1,0.798,,4,2,50,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,119.134,120.6,right,1,0.943,,4,3,51,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,120.6,126.699,down,1,5.562,,4,4,52,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,957921,001,24,2026-05-07_12h58.17.449,stroop_group,2026.1.3,MacIntel,62.5,126.7,129.349,right,1,2.111,,4,5,53,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
