instructions.started,instructions.stopped,participant,session,age (years),date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,trials_nomax.thisRepN,trials_nomax.thisTrialN,trials_nomax.thisN,trials_nomax.thisIndex,trials_nomax.ran,language,word,letterColor,corrAns,congruent,__trial_min.started,__trial_min.stopped,resp_min.keys,resp_min.corr,resp_min.rt,resp_min.duration,trials_min.thisRepN,trials_min.thisTrialN,trials_min.thisN,trials_min.thisIndex,trials_min.ran,thanks.started,thanks.stopped
0,9.537,928192,001,,2026-05-07_12h50.36.856,stroop_group,2026.1.3,MacIntel,119.9040767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,928192,001,,2026-05-07_12h50.36.856,stroop_group,2026.1.3,MacIntel,119.9040767,9.548,12.899,down,0,2.833,,0,0,0,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,928192,001,,2026-05-07_12h50.36.856,stroop_group,2026.1.3,MacIntel,119.9040767,12.9,14.52,left,1,1.106,,0,1,1,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,928192,001,,2026-05-07_12h50.36.856,stroop_group,2026.1.3,MacIntel,119.9040767,14.522,15.794,right,1,0.755,,0,2,2,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,928192,001,,2026-05-07_12h50.36.856,stroop_group,2026.1.3,MacIntel,119.9040767,15.796,17.212,down,1,0.906,,0,3,3,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,928192,001,,2026-05-07_12h50.36.856,stroop_group,2026.1.3,MacIntel,119.9040767,17.213,18.778,left,0,1.047,,0,4,4,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,928192,001,,2026-05-07_12h50.36.856,stroop_group,2026.1.3,MacIntel,119.9040767,18.779,20.62,right,1,1.324,,0,5,5,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,928192,001,,2026-05-07_12h50.36.856,stroop_group,2026.1.3,MacIntel,119.9040767,20.62,21.953,right,0,0.817,,0,6,6,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,928192,001,,2026-05-07_12h50.36.856,stroop_group,2026.1.3,MacIntel,119.9040767,21.954,23.228,left,0,0.762,,0,7,7,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,928192,001,,2026-05-07_12h50.36.856,stroop_group,2026.1.3,MacIntel,119.9040767,23.229,24.761,left,1,1.018,,0,8,8,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
