instructions.started,instructions.stopped,participant,session,age (years),date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,trials_nomax.thisRepN,trials_nomax.thisTrialN,trials_nomax.thisN,trials_nomax.thisIndex,trials_nomax.ran,language,word,letterColor,corrAns,congruent,__trial_min.started,__trial_min.stopped,resp_min.keys,resp_min.corr,resp_min.rt,resp_min.duration,trials_min.thisRepN,trials_min.thisTrialN,trials_min.thisN,trials_min.thisIndex,trials_min.ran,thanks.started,thanks.stopped
0.0003,49.8706,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,49.8908,52.2294,right,1,1.8181,,0,0,0,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,52.2305,54.4538,down,1,1.7015,,0,1,1,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,54.4548,56.1038,left,1,1.1278,,0,2,2,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,56.1047,58.0624,left,1,1.4389,,0,3,3,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,58.064,60.0125,down,1,1.4295,,0,4,4,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,60.014,61.2042,down,1,0.6703,,0,5,5,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,61.2055,62.7042,right,1,0.9797,,0,6,6,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,62.7056,64.204,left,1,0.98,,0,7,7,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,64.2055,66.2374,right,1,1.5138,,0,8,8,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,66.2381,68.0704,left,1,1.3138,,0,9,9,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,68.0719,69.8784,down,1,1.29,,0,10,10,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,69.8803,71.5292,right,1,1.1253,,0,11,11,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,71.5304,72.836,left,1,0.7904,,1,0,12,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,72.8369,74.0292,left,1,0.6801,,1,1,13,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,74.0304,75.3455,right,1,0.7929,,1,2,14,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,75.3465,76.6711,left,1,0.8083,,1,3,15,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,76.6724,78.0624,right,1,0.8714,,1,4,16,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,78.0637,79.3374,down,1,0.7536,,1,5,17,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,056080,001,30,2026-05-07_12h51.39.275,stroop_group,2026.1.3,MacIntel,120.4819277,79.3386,80.5286,left,1,0.6692,,1,6,18,0,1,EN,red,red,left,1,,,,,,,,,,,,,
