instructions.started,instructions.stopped,participant,session,age (years),date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,trials_nomax.thisRepN,trials_nomax.thisTrialN,trials_nomax.thisN,trials_nomax.thisIndex,trials_nomax.ran,language,word,letterColor,corrAns,congruent,__trial_min.started,__trial_min.stopped,resp_min.keys,resp_min.corr,resp_min.rt,resp_min.duration,trials_min.thisRepN,trials_min.thisTrialN,trials_min.thisN,trials_min.thisIndex,trials_min.ran,thanks.started,thanks.stopped
0,6.433,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,6.446,8.533,left,1,1.578,,0,0,0,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,8.535,9.708,left,1,0.657,,0,1,1,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,9.709,11.742,right,1,1.522,,0,2,2,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,11.747,13.47,down,1,1.207,,0,3,3,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,13.471,14.791,right,1,0.807,,0,4,4,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,14.793,15.9,left,1,0.586,,0,5,5,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,15.902,16.941,left,1,0.525,,0,6,6,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,16.942,18.108,right,1,0.65,,0,7,7,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,18.11,19.07,down,1,0.447,,0,8,8,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,19.07,20.166,down,1,0.582,,0,9,9,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,20.168,21.3,right,1,0.613,,0,10,10,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,21.301,22.366,down,1,0.546,,0,11,11,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,22.367,23.55,right,1,0.666,,1,0,12,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,23.551,24.616,left,1,0.547,,1,1,13,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,24.618,25.616,left,1,0.486,,1,2,14,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,25.617,26.742,down,1,0.611,,1,3,15,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,26.743,27.941,left,1,0.681,,1,4,16,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,27.943,29.458,right,1,1.001,,1,5,17,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,29.458,30.537,down,1,0.57,,1,6,18,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,30.538,31.666,right,1,0.612,,1,7,19,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,31.667,32.7,right,1,0.53,,1,8,20,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,32.702,33.592,right,0,0.375,,1,9,21,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,33.593,35.108,left,1,0.997,,1,10,22,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,35.109,36.974,down,1,1.356,,1,11,23,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,36.977,38.208,right,1,0.716,,2,0,24,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,38.209,39.532,left,1,0.811,,2,1,25,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,39.533,40.769,down,1,0.727,,2,2,26,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,40.771,41.858,down,1,0.572,,2,3,27,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,511828,001,,2026-05-07_12h55.11.352,stroop_group,2026.1.3,MacIntel,132.6259947,41.859,42.933,down,1,0.558,,2,4,28,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
