instructions.started,instructions.stopped,participant,session,age (years),date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,trials_nomax.thisRepN,trials_nomax.thisTrialN,trials_nomax.thisN,trials_nomax.thisIndex,trials_nomax.ran,language,word,letterColor,corrAns,congruent,__trial_min.started,__trial_min.stopped,resp_min.keys,resp_min.corr,resp_min.rt,resp_min.duration,trials_min.thisRepN,trials_min.thisTrialN,trials_min.thisN,trials_min.thisIndex,trials_min.ran,thanks.started,thanks.stopped
0.0002,3.3949,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,3.4137,5.8618,left,1,1.9273,,0,0,0,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,5.8634,8.0612,left,1,1.6856,,0,1,1,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,8.0632,9.6364,left,1,1.0551,,0,2,2,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,9.6378,12.9526,right,1,2.7954,,0,3,3,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,12.9542,15.144,down,1,1.6752,,0,4,4,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,15.1449,18.3613,down,1,2.6949,,0,5,5,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,18.3635,20.6774,left,1,1.7943,,0,6,6,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,20.6783,23.4032,down,1,2.2065,,0,7,7,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,23.4044,25.5609,right,1,1.6333,,0,8,8,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,25.5618,27.5694,right,1,1.4882,,0,9,9,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,27.5704,29.2704,right,1,1.1762,,0,10,10,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,29.2717,30.799,down,1,1.0088,,0,11,11,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,30.8001,32.2814,down,1,0.9662,,1,0,12,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,32.2825,33.7906,left,1,0.9933,,1,1,13,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,33.7917,35.2404,left,1,0.934,,1,2,14,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,35.241,36.7313,down,1,0.9755,,1,3,15,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,36.7324,37.8521,down,1,0.6029,,1,4,16,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,37.8527,39.1022,right,1,0.7392,,1,5,17,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,39.1035,40.211,right,1,0.5854,,1,6,18,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,40.2123,41.4528,down,1,0.7186,,1,7,19,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,41.4536,42.9438,right,1,0.9782,,1,8,20,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,42.9454,44.5317,left,1,1.0672,,1,9,21,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,44.5329,45.823,right,1,0.7757,,1,10,22,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,45.8245,47.4108,left,1,1.0687,,1,11,23,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,47.412,48.6312,left,1,0.7002,,2,0,24,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,48.6326,50.1318,left,1,0.9839,,2,1,25,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,50.1333,51.7117,right,1,1.0641,,2,2,26,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,51.7131,52.9064,right,1,0.6752,,2,3,27,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,52.9078,54.0024,down,1,0.58,,2,4,28,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,54.0039,55.444,down,1,0.919,,2,5,29,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,55.4451,56.5728,down,1,0.6088,,2,6,30,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,56.5744,58.2608,right,1,1.1721,,2,7,31,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,58.2623,59.7432,left,1,0.9589,,2,8,32,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,59.744,61.2939,right,1,1.0302,,2,9,33,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,61.295,62.6606,left,1,0.8507,,2,10,34,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,62.662,64.8266,down,1,1.6426,,2,11,35,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,64.8276,65.9802,right,1,0.633,,3,0,36,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,65.9813,67.5348,right,1,1.0355,,3,1,37,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,67.5363,68.9345,left,1,0.8775,,3,2,38,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,68.9353,70.3017,right,1,0.843,,3,3,39,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,70.3029,71.6348,down,1,0.8134,,3,4,40,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,71.6358,73.056,down,1,0.901,,3,5,41,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,73.0575,74.31,down,1,0.7345,,3,6,42,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,funda,001,26,2026-05-07_12h54.33.059,stroop_group,2026.1.3,Win32,120.4819277,74.3116,75.6266,right,1,0.7959,,3,7,43,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
