instructions.started,instructions.stopped,participant,session,age (years),date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,trials_nomax.thisRepN,trials_nomax.thisTrialN,trials_nomax.thisN,trials_nomax.thisIndex,trials_nomax.ran,language,word,letterColor,corrAns,congruent,__trial_min.started,__trial_min.stopped,resp_min.keys,resp_min.corr,resp_min.rt,resp_min.duration,trials_min.thisRepN,trials_min.thisTrialN,trials_min.thisN,trials_min.thisIndex,trials_min.ran,thanks.started,thanks.stopped
0.0001,5.9978,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,6.0101,8.6976,down,1,2.1406,,0,0,0,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,8.6987,13.0634,right,1,3.8074,,0,1,1,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,13.0646,14.7308,right,1,1.1137,,0,2,2,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,14.7318,33.2976,down,1,17.9962,,0,3,3,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,33.299,34.5974,down,1,0.7493,,0,4,4,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,34.5982,36.3976,right,1,1.227,,0,5,5,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,36.3987,37.364,left,1,0.4163,,0,6,6,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,37.3648,38.4309,left,1,0.5085,,0,7,7,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,38.432,39.6975,left,1,0.7024,,0,8,8,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,39.6987,41.8974,down,1,1.6469,,0,9,9,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,41.8983,44.9307,left,1,2.4734,,0,10,10,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,44.9315,47.2974,right,1,1.802,,0,11,11,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,47.2986,49.3975,left,1,1.5246,,1,0,12,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,49.3986,50.4641,left,1,0.5156,,1,1,13,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,50.4648,51.5309,down,1,0.4954,,1,2,14,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,51.5321,52.5309,right,1,0.4308,,1,3,15,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,52.532,53.764,right,1,0.6766,,1,4,16,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,53.7651,55.3309,down,1,0.9938,,1,5,17,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,55.332,56.364,left,1,0.4801,,1,6,18,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,56.3649,58.9975,down,1,2.0864,,1,7,19,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,58.9984,60.3307,right,1,0.7771,,1,8,20,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,60.3317,61.3308,right,1,0.4363,,1,9,21,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,61.3318,62.5306,down,1,0.6547,,1,10,22,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,62.5315,63.6307,left,1,0.5418,,1,11,23,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,63.6316,64.5637,left,1,0.388,,2,0,24,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,64.5646,66.431,down,1,1.2973,,2,1,25,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,66.432,67.7306,right,1,0.7412,,2,2,26,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,67.7315,68.964,down,1,0.6754,,2,3,27,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,68.9648,70.2641,left,1,0.7377,,2,4,28,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,836032,001,,2026-05-07_12h57.53.207,stroop_group,2026.1.3,MacIntel,30.03003003,70.2652,71.4972,down,1,0.6821,,2,5,29,2,1,EN,green,green,down,1,,,,,,,,,,,,,
