instructions.started,instructions.stopped,participant,session,age (years),date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,trials_nomax.thisRepN,trials_nomax.thisTrialN,trials_nomax.thisN,trials_nomax.thisIndex,trials_nomax.ran,language,word,letterColor,corrAns,congruent,__trial_min.started,__trial_min.stopped,resp_min.keys,resp_min.corr,resp_min.rt,resp_min.duration,trials_min.thisRepN,trials_min.thisTrialN,trials_min.thisN,trials_min.thisIndex,trials_min.ran,thanks.started,thanks.stopped
0.0003,15.8131,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,15.8322,18.1132,right,1,1.7362,,0,0,0,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,18.1145,20.0129,down,1,1.3421,,0,1,1,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,20.0139,21.713,down,1,1.1425,,0,2,2,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,21.7144,23.4124,down,1,1.1338,,0,3,3,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,23.4138,24.813,left,1,0.8404,,0,4,4,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,24.8142,25.9132,left,1,0.523,,0,5,5,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,25.9144,26.9462,left,1,0.485,,0,6,6,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,26.9473,28.0462,down,1,0.5465,,0,7,7,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,28.047,29.1799,right,1,0.5917,,0,8,8,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,29.1808,30.1797,right,1,0.4331,,0,9,9,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,30.1803,31.2127,left,1,0.4658,,0,10,10,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,31.2139,32.2462,left,0,0.4839,,0,11,11,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,32.247,33.8462,right,1,1.0445,,1,0,12,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,33.8472,34.7794,right,1,0.3822,,1,1,13,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,34.7803,36.6128,down,1,1.2888,,1,2,14,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,36.6131,37.9795,right,1,0.805,,1,3,15,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,37.9807,39.0796,right,1,0.5226,,1,4,16,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,39.0802,40.3796,left,1,0.743,,1,5,17,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,646399,001,25,2026-05-07_12h53.12.429,stroop_group,2026.1.3,MacIntel,30.03003003,40.3805,41.7129,down,1,0.773,,1,6,18,1,1,EN,red,green,down,0,,,,,,,,,,,,,
