instructions.started,instructions.stopped,participant,session,age (years),date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,trials_nomax.thisRepN,trials_nomax.thisTrialN,trials_nomax.thisN,trials_nomax.thisIndex,trials_nomax.ran,language,word,letterColor,corrAns,congruent,__trial_min.started,__trial_min.stopped,resp_min.keys,resp_min.corr,resp_min.rt,resp_min.duration,trials_min.thisRepN,trials_min.thisTrialN,trials_min.thisN,trials_min.thisIndex,trials_min.ran,thanks.started,thanks.stopped
0.001,8.412,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,8.422,9.564,right,0,0.632,,0,0,0,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,9.567,11.864,down,1,1.786,,0,1,1,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,11.865,13.266,right,0,0.888,,0,2,2,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,13.268,15.336,left,1,1.565,,0,3,3,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,15.337,17.759,left,1,1.912,,0,4,4,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,17.761,19.489,right,0,1.223,,0,5,5,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,19.489,20.884,left,0,0.882,,0,6,6,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,20.886,24.454,left,0,3.061,,0,7,7,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,24.456,25.586,left,0,0.621,,0,8,8,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,25.586,26.752,left,0,0.653,,0,9,9,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,26.753,28.051,down,1,0.792,,0,10,10,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,28.051,29.287,down,1,0.722,,0,11,11,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,29.289,30.947,right,0,1.145,,1,0,12,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,30.948,32.843,down,1,1.384,,1,1,13,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,32.844,34.28,left,0,0.931,,1,2,14,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,34.281,35.28,down,1,0.496,,1,3,15,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,35.281,36.467,right,0,0.684,,1,4,16,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,36.468,37.607,left,0,0.631,,1,5,17,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,37.608,39.391,right,0,1.28,,1,6,18,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,39.392,40.725,left,0,0.821,,1,7,19,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,40.726,43.329,left,0,2.099,,1,8,20,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,43.33,44.447,right,0,0.61,,1,9,21,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,44.448,48.405,right,0,3.446,,1,10,22,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,48.407,50.635,left,0,1.723,,1,11,23,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,50.636,52.947,down,1,1.798,,2,0,24,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,52.947,53.961,down,1,0.507,,2,1,25,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,53.963,55.107,right,0,0.638,,2,2,26,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,55.107,57.413,right,0,1.798,,2,3,27,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,57.414,59.475,left,0,1.552,,2,4,28,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,59.476,60.927,down,0,0.947,,2,5,29,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,60.927,62.141,down,0,0.702,,2,6,30,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,62.144,63.426,right,0,0.771,,2,7,31,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,63.428,64.545,left,0,0.61,,2,8,32,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,64.546,65.898,right,0,0.848,,2,9,33,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,65.9,71.01,right,0,4.604,,2,10,34,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,71.011,72.19,left,0,0.667,,2,11,35,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,72.19,73.711,right,0,1.016,,3,0,36,2,1,EN,green,green,down,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,73.713,75.107,right,0,0.884,,3,1,37,8,1,TR,yeşil,green,down,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,75.107,76.239,right,0,0.626,,3,2,38,1,1,EN,red,green,down,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,76.239,77.267,right,0,0.521,,3,3,39,7,1,TR,kırmızı,green,down,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,77.267,78.412,left,1,0.638,,3,4,40,11,1,TR,mavi,red,left,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,78.414,79.594,right,0,0.666,,3,5,41,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,79.595,80.933,left,0,0.827,,3,6,42,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,80.934,82.836,down,0,1.389,,3,7,43,6,1,TR,kırmızı,red,left,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,82.838,86.045,left,0,2.704,,3,8,44,3,1,EN,green,blue,right,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,86.045,87.163,right,0,0.604,,3,9,45,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,87.164,88.698,left,0,1.028,,3,10,46,4,1,EN,blue,blue,right,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,88.699,89.767,left,0,0.563,,3,11,47,10,1,TR,mavi,blue,right,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,89.768,91.086,right,0,0.806,,4,0,48,0,1,EN,red,red,left,1,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,91.088,92.093,right,0,0.493,,4,1,49,5,1,EN,blue,red,left,0,,,,,,,,,,,,,
,,888832,001,27,2026-05-07_12h52.53.128,stroop_group,2026.1.3,Win32,144.092219,92.094,93.184,left,0,0.578,,4,2,50,9,1,TR,yeşil,blue,right,0,,,,,,,,,,,,,
